Id	Obec	Okres	Kraj	PSČ	X	Y
0005	Albrechtice	Karviná	Moravskoslezský kraj	73543	18524	49786
000A	Albrechtičky	Nový Jičín	Moravskoslezský kraj	74255	18095	49701
000D	Andělská Hora	Bruntál	Moravskoslezský kraj	79331	17389	50060
002D	Bartošovice	Nový Jičín	Moravskoslezský kraj	74254	18054	49668
0031	Baška	Frýdek-Místek	Moravskoslezský kraj	73901	18372	49645
004D	Bělá	Opava	Moravskoslezský kraj	74723	18144	49972
006F	Bernartice nad Odrou	Nový Jičín	Moravskoslezský kraj	74101	17947	49610
0088	Bílá	Frýdek-Místek	Moravskoslezský kraj	73915	18453	49442
008D	Bílčice	Bruntál	Moravskoslezský kraj	79368	17565	49869
0094	Bílov	Nový Jičín	Moravskoslezský kraj	74301	18001	49734
0096	Bílovec	Nový Jičín	Moravskoslezský kraj	74301	18015	49756
00AA	Bítov	Nový Jičín	Moravskoslezský kraj	74301	18047	49800
00CF	Bocanovice	Frýdek-Místek	Moravskoslezský kraj	73991	18738	49569
00DE	Bohumín	Karviná	Moravskoslezský kraj	73581	18357	49904
00E6	Bohuslavice	Opava	Moravskoslezský kraj	74719	18128	49942
00ED	Bohušov	Bruntál	Moravskoslezský kraj	79399	17713	50243
00FB	Bolatice	Opava	Moravskoslezský kraj	74723	18083	49951
0106	Bordovice	Nový Jičín	Moravskoslezský kraj	74401	18152	49546
0152	Branka u Opavy	Opava	Moravskoslezský kraj	74741	17882	49888
0158	Brantice	Bruntál	Moravskoslezský kraj	79393	17629	50063
0163	Bratříkovice	Opava	Moravskoslezský kraj	74752	17687	49932
0165	Bravantice	Nový Jičín	Moravskoslezský kraj	74281	18082	49757
0183	Brumovice	Opava	Moravskoslezský kraj	74771	17749	50015
0184	Bruntál	Bruntál	Moravskoslezský kraj	79201	17463	49988
0186	Brušperk	Frýdek-Místek	Moravskoslezský kraj	73944	18222	49700
0187	Bruzovice	Frýdek-Místek	Moravskoslezský kraj	73936	18409	49717
01AB	Březová	Opava	Moravskoslezský kraj	74744	17865	49791
01BA	Břidličná	Bruntál	Moravskoslezský kraj	79351	17371	49911
01CF	Budišov nad Budišovkou	Opava	Moravskoslezský kraj	74787	17629	49795
01D0	Budišovice	Opava	Moravskoslezský kraj	74764	18039	49861
01E3	Bukovec	Frýdek-Místek	Moravskoslezský kraj	73984	18821	49556
01FF	Býkov-Láryšov	Bruntál	Moravskoslezský kraj	79401	17687	50052
020B	Bystřice	Frýdek-Místek	Moravskoslezský kraj	73995	18720	49636
0244	Čaková	Bruntál	Moravskoslezský kraj	79316	17548	50051
0250	Čavisov	Ostrava-město	Moravskoslezský kraj	74764	18080	49829
0263	Čeladná	Frýdek-Místek	Moravskoslezský kraj	73912	18337	49548
0277	Čermná ve Slezsku	Opava	Moravskoslezský kraj	74901	17702	49782
02C2	Český Těšín	Karviná	Moravskoslezský kraj	73701	18623	49747
