Id	Obec	Okres	Kraj	PSČ	X	Y
13B5	Šanov	Rakovník	Středočeský kraj	27031	13631	50087
13BD	Šebestěnice	Kutná Hora	Středočeský kraj	28601	15365	49829
13C9	Šestajovice	Praha-východ	Středočeský kraj	25092	14681	50108
13CA	Šetějovice	Benešov	Středočeský kraj	25768	15222	49645
13D0	Šípy	Rakovník	Středočeský kraj	27034	13616	50014
13D6	Škvorec	Praha-východ	Středočeský kraj	25083	14730	50046
13D9	Šlapanice	Kladno	Středočeský kraj	27372	14111	50314
13E7	Štěchovice	Praha-západ	Středočeský kraj	25207	14405	49851
13F4	Štětkovice	Příbram	Středočeský kraj	26401	14506	49670
13F5	Štíhlice	Praha-východ	Středočeský kraj	28163	14780	50005
13F8	Štipoklasy	Kutná Hora	Středočeský kraj	28401	15213	49824
140C	Švihov	Rakovník	Středočeský kraj	27033	13564	50109
140E	Tachlovice	Praha-západ	Středočeský kraj	25217	14240	50014
1418	Tatce	Kolín	Středočeský kraj	28911	14977	50091
141F	Tehov	Benešov	Středočeský kraj	25801	14966	49735
1420	Tehov	Praha-východ	Středočeský kraj	25101	14693	49971
1421	Tehovec	Praha-východ	Středočeský kraj	25162	14730	49981
1422	Těchařovice	Příbram	Středočeský kraj	26231	14048	49599
1435	Teplýšovice	Benešov	Středočeský kraj	25601	14801	49806
1443	Tetín	Beroun	Středočeský kraj	26601	14102	49949
1447	Tichonice	Benešov	Středočeský kraj	25763	14992	49777
144D	Tisem	Benešov	Středočeský kraj	25756	14608	49755
144E	Tismice	Kolín	Středočeský kraj	28201	14821	50056
1452	Tišice	Mělník	Středočeský kraj	27715	14554	50269
1459	Tlustice	Beroun	Středočeský kraj	26801	13885	49850
145A	Tmaň	Beroun	Středočeský kraj	26721	14033	49907
145B	Točník	Beroun	Středočeský kraj	26751	13882	49885
145C	Tochovice	Příbram	Středočeský kraj	26281	13992	49595
145E	Tomice	Benešov	Středočeský kraj	25768	15157	49645
1461	Toušice	Kolín	Středočeský kraj	28163	15006	49987
146B	Trhové Dušníky	Příbram	Středočeský kraj	26101	14012	49713
146D	Trhový Štěpánov	Benešov	Středočeský kraj	25763	15013	49711
1475	Trnová	Praha-západ	Středočeský kraj	25210	14357	49915
148A	Trubín	Beroun	Středočeský kraj	26701	14002	49943
148B	Trubská	Beroun	Středočeský kraj	26601	13993	49954
1499	Třebestovice	Nymburk	Středočeský kraj	28912	14958	50124
149A	Třebešice	Benešov	Středočeský kraj	25726	14831	49775
149B	Třebešice	Kutná Hora	Středočeský kraj	28601	15337	49927
149F	Třebětín	Kutná Hora	Středočeský kraj	28522	15269	49770
14A2	Třebichovice	Kladno	Středočeský kraj	27306	14079	50190
14A4	Třebíz	Kladno	Středočeský kraj	27375	13990	50269
14A6	Třeboc	Rakovník	Středočeský kraj	27054	13752	50214
14AA	Třebonín	Kutná Hora	Středočeský kraj	28544	15313	49869
14AC	Třebotov	Praha-západ	Středočeský kraj	25226	14291	49972
14AE	Třebovle	Kolín	Středočeský kraj	28163	14961	50027
14AF	Třebsko	Příbram	Středočeský kraj	26242	13967	49625
14B0	Třebusice	Kladno	Středočeský kraj	27341	14180	50200
14BC	Tři Dvory	Kolín	Středočeský kraj	28002	15256	50032
14C2	Třtice	Rakovník	Středočeský kraj	27101	13863	50185
14C8	Tuhaň	Mělník	Středočeský kraj	27741	14517	50295
14C9	Tuchlovice	Kladno	Středočeský kraj	27302	13991	50138
14CA	Tuchoměřice	Praha-západ	Středočeský kraj	25267	14282	50135
14CB	Tuchoraz	Kolín	Středočeský kraj	28201	14849	50048
14CD	Tuklaty	Kolín	Středočeský kraj	25082	14769	50084
14D0	Tupadly	Kutná Hora	Středočeský kraj	28563	15403	49869
14D1	Tupadly	Mělník	Středočeský kraj	27721	14475	50441
14D7	Tursko	Praha-západ	Středočeský kraj	25265	14321	50191
14DA	Tuřany	Kladno	Středočeský kraj	27379	14029	50232
14DB	Tuřice	Mladá Boleslav	Středočeský kraj	29474	14769	50248
14DC	Tušovice	Příbram	Středočeský kraj	26272	14030	49575
14EC	Týnec nad Labem	Kolín	Středočeský kraj	28126	15358	50042
14ED	Týnec nad Sázavou	Benešov	Středočeský kraj	25741	14589	49833
1504	Uhlířská Lhota	Kolín	Středočeský kraj	28126	15391	50079
1505	Uhlířské Janovice	Kutná Hora	Středočeský kraj	28504	15064	49880
1506	Úholičky	Praha-západ	Středočeský kraj	25264	14335	50161
1507	Úhonice	Praha-západ	Středočeský kraj	25218	14186	50043
1511	Uhy	Kladno	Středočeský kraj	27324	14273	50284
1517	Újezd	Beroun	Středočeský kraj	26761	13837	49831
1528	Újezdec	Mělník	Středočeský kraj	27745	14420	50283
152B	Ujkovice	Mladá Boleslav	Středočeský kraj	29404	15099	50366
152F	Úmonín	Kutná Hora	Středočeský kraj	28546	15271	49888
1530	Úmyslovice	Nymburk	Středočeský kraj	29001	15177	50203
1537	Únětice	Praha-západ	Středočeský kraj	25262	14354	50150
1538	Unhošť	Kladno	Středočeský kraj	27351	14130	50085
155B	Úvaly	Praha-východ	Středočeský kraj	25082	14730	50073
155E	Úžice	Kutná Hora	Středočeský kraj	28504	14972	49872
